"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SD1";"MICROSD_tme";1;"SD_CARD_MICRO";;;
2;"G***,G***";"LOGO";2;"LOGO";;;
3;"P6";"Header_Servo";1;"GND_SERVO";;;
4;"P5";"Header_Servo";1;"5V_SERVO";;;
5;"C15";"c_0805";1;"1n";;;
6;"D7";"diode-DO214AA";1;"SMBJ5.0CA-TR";;;
7;"C16";"c_0805";1;"10n";;;
8;"D13";"led_0805";1;"BLINK";;;
9;"D2";"led_0805";1;"3V3";;;
10;"D1";"led_0805";1;"5V0";;;
11;"U6";"tssop-20";1;"TXS0108";;;
12;"R13,R6,R4,R3,R7,R1,R2,R9,R10,R11";"r_0805";10;"10k";;;
13;"C14,C13,C12,C7,C1,C4,C9,C2";"c_0805";8;"100n";;;
14;"U2";"SO14E";1;"74HC125";;;
15;"SW1";"SW_SMD";1;"RST";;;
16;"C11,C10";"c_0805";2;"22p";;;
17;"C5";"c_0805";1;"2u2";;;
18;"C3";"c_0805";1;"2u2 Tant";;;
19;"DIP1";"DIP";1;"DIP";;;
20;"R5,R8";"r_0805";2;"1k5";;;
21;"B3,B2,B15";"I%2fO";3;"I/O";;;
22;"X1";"Xtal_SMD2";1;"16MHz";;;
23;"U4";"DS3231";1;"DS3231N";;;
24;"R12";"r_0805";1;"1k";;;
25;"BT1";"CR1632_2";1;"BATT_RTC";;;
26;"U1";"SOT23-5";1;"LP2985-33DBVR";;;
27;"U3";"SOT223";1;"NCP1117ST50T3G";;;
28;"Q1";"SOT23-3";1;"FDN340P";;;
29;"U5";"SO8E";1;"LM358N";;;
30;"C8";"C_ELCO_SMD";1;"47u,10V";;;
31;"C6";"C_ELCO_SMD";1;"100u,25V";;;
32;"P4";"Header_Servo";1;"PWM_SERVO";;;
33;"P7";"Header_GPS";1;"GPS_UP501";;;
34;"P2";"Header_GPU_JTAG";1;"GPU_JTAG";;;
35;"P3";"Header_GPU_JTAG";1;"LAN_JTAG";;;
36;"P12";"USB_B_Micro";1;"UUSB_B";;;
37;"P9";"Header_ICSP";1;"ICSP";;;
38;"D3,D4";"d_VMD2";2;"RB886G";;;
39;"F1,F2";"f_1206";2;"nanoSMDC110F";;;
40;"D5,D8";"do_457";2;"MBRM110LT1G";;;
41;"P10";"JACK_ALIM";1;"V_IN";;;
42;"P1";"Header_GPIO";1;"BCM2835_GPIO";;;
43;"P13";"Header_A_REF";1;"AREF";;;
44;"P14";"Header_6x1";1;"ANALOG_5V0";;;
45;"P15";"Header_6x1";1;"ANALOG_GND";;;
46;"P11";"Header_U6OE_SMT";1;"U6_OE";;;
47;"P16";"Header_U6OE_SMT";1;"5V_LINK";;;
48;"PCB1";"PCB";1;"PCB";;;
49;"R14";"r_0805";1;"0E";;;
50;"P8";"Header_FTDI";1;"FTDI";;;
51;"SHIELD1";"ARDUINO_SHIELD_2_040pins";1;"ARDUINO_SHIELD";;;
52;"IC1";"DIP-28__300_ELL";1;"ATMEGA328-PU";;;
53;"R15";"r_0805";1;"8k2";;;
54;"R16";"r_0805";1;"16k";;;
